text,label,text_en,text_hi,text_bn,text_mr,text_te,text_ta,text_gu,text_ur,text_kn,text_or,text_ml
I am going home.,others,I am going home.,मैं घर जा रहा हूँ.,ਮੈਂ ਘਰ ਜਾ ਰਿਹਾ ਹਾਂ.,मी घरी जातोय.,ನಾನು ಮನೆಗೆ ಹೋಗುತ್ತಿದ್ದೇನೆ.,ನಾನು ಮನೆಗೆ ಹೋಗುತ್ತಿದ್ದೇನೆ.,ਮੈਂ ਘਰ ਜਾ ਰਿਹਾ ਹਾਂ.,میں گھر جا رہا ہوں۔,ನಾನು ಮನೆಗೆ ಹೋಗುತ್ತಿದ್ದೇನೆ.,ਮੈਂ ਘਰ ਜਾ ਰਿਹਾ ਹਾਂ.,ഞാൻ വീട്ടിൽ പോകുന്നു.
The garbage is spoiling the beauty of the locality.,garbage,The garbage is spoiling the beauty of the locality.,कचरा इलाके की खूबसूरती को बिगाड़ रहा है ।,[ अभ्यासाचे प्रश्‍न],लोखंडाच्या काचेच्या लाकडापासून बनविलेल्या लाकडापासून बनविलेल्या असतात.,குப்பை ಪ್ರದೇಶದ ಸೌಂದರ್ಯವನ್ನು ಹಾಳುಮಾಡುತ್ತಿದೆ.,குப்பை ಪ್ರದೇಶದ ಸೌಂದರ್ಯವನ್ನು ಹಾಳುಮಾಡುತ್ತಿದೆ.,[ अभ्यासाचे प्रश्‍न],لُوط شہر کی خوبصورتی کو خراب کر رہا ہے ۔,குப்பை ಪ್ರದೇಶದ ಸೌಂದರ್ಯವನ್ನು ಹಾಳುಮಾಡುತ್ತಿದೆ.,[ अभ्यासाचे प्रश्‍न],"ഈ ചപ്പുചവറുകൾ, പ്രദേശത്തിന്റെ സൗന്ദര്യം നശിപ്പിക്കുകയാണ്."
The garbage is a problem that needs immediate attention.,garbage,The garbage is a problem that needs immediate attention.,कचरा एक समस्या है जिसे फ़ौरन ध्यान की ज़रूरत है ।,"कूच करना एक समस्या है, जिसे तात्पर्य ध्यान की ज़रूरत है ।",हे सोपे काम नाही.,குப்பைವು உடனடி ಗಮನವನ್ನು ಅಗತ್ಯಪಡಿಸುವ ಒಂದು ಸಮಸ್ಯೆಯಾಗಿದೆ.,குப்பைವು உடனடி ಗಮನವನ್ನು ಅಗತ್ಯಪಡಿಸುವ ಒಂದು ಸಮಸ್ಯೆಯಾಗಿದೆ.,"कूच करना एक समस्या है, जिसे तात्पर्य ध्यान की ज़रूरत है ।",یہ ایک مسئلہ ہے جسے فوری توجہ کی ضرورت ہے.,குப்பைವು உடனடி ಗಮನವನ್ನು ಅಗತ್ಯಪಡಿಸುವ ಒಂದು ಸಮಸ್ಯೆಯಾಗಿದೆ.,"कूच करना एक समस्या है, जिसे तात्पर्य ध्यान की ज़रूरत है ।",ചപ്പുചവറുകൾ പെട്ടെന്നു ശ്രദ്ധിക്കേണ്ട ഒരു പ്രശ് നമാണ് .
The streetlight is a sculpture that we have to be the first start of.,streetlight,The streetlight is a sculpture that we have to be the first start of.,सड़क की रोशनी एक ऐसी मूर्ति है जिसे हमें शुरू करना है ।,सड़कलाइट एक मूर्ति है जिसे हमें सबसे पहले होना है.,आता आम्ही एका हॉटेलमध्ये आहोत.,"స్ట్రీట్‌ లైట్‌ అనేది ఒక చిత్రలేఖనం, మనం మొదటి మొదటిగా ఉండాలి.","స్ట్రీట్‌ లైట్‌ అనేది ఒక చిత్రలేఖనం, మనం మొదటి మొదటిగా ఉండాలి.",सड़कलाइट एक मूर्ति है जिसे हमें सबसे पहले होना है.,سڑک ایک ایسا مجسّمہ ہے جسے ہمیں پہلی بار ہونا ہے۔,"స్ట్రీట్‌ లైట్‌ అనేది ఒక చిత్రలేఖనం, మనం మొదటి మొదటిగా ఉండాలి.",सड़कलाइट एक मूर्ति है जिसे हमें सबसे पहले होना है.,തെരുവ് ലൈറ്റ് ഒരു ശിൽപ്പമാണ്. നമ്മൾ ആദ്യം തുടങ്ങണം.
Bad road.,potholes,Bad road.,बुरा सड़क.,খারাপ রাস্তা.,वाईट खेळ.,கெட்ட சாலை.,கெட்ட சாலை.,খারাপ রাস্তা.,برا سڑک.,கெட்ட சாலை.,খারাপ রাস্তা.,മോശം റോഡ്.
The road is a constant source of dust pollution.,potholes,The road is a constant source of dust pollution.,मार्ग धूल प्रदूषण का एक निरंतर स्रोत है ।,मार्ग धूल प्रदूषण का निरंतर स्रोत आहे ।,पण हे कसे शक्य आहे?,ರಸ್ತೆಯು ಯಾವಾಗಲೂ ಧೂಳಿನ ಮಾಲಿನ್ಯಕ್ಕೆ ಕಾರಣವಾಗಿರುತ್ತದೆ.,ರಸ್ತೆಯು ಯಾವಾಗಲೂ ಧೂಳಿನ ಮಾಲಿನ್ಯಕ್ಕೆ ಕಾರಣವಾಗಿರುತ್ತದೆ.,मार्ग धूल प्रदूषण का निरंतर स्रोत आहे ।,سڑک مٹی کی آلودگی کا مستقل ذریعہ ہے ۔,ರಸ್ತೆಯು ಯಾವಾಗಲೂ ಧೂಳಿನ ಮಾಲಿನ್ಯಕ್ಕೆ ಕಾರಣವಾಗಿರುತ್ತದೆ.,मार्ग धूल प्रदूषण का निरंतर स्रोत आहे ।,റോഡ് പൊടി മലിനീകരണത്തിന്റെ ഒരു സ്ഥിരം ഉറവിടമാണ് .
The streetlight is a friend of the lonely traveler.,streetlight,The streetlight is a friend of the lonely traveler.,सड़क की रोशनी अकेली यात्री का मित्र है ।,सड़क - उजियाला एक अकेला प्रवासी का मित्र है ।,आळशी माणूस रात्रीच्या वेळी झोपी जातो.,"వీధి వీధిపక్కన, ఒంటరిగా ప్రయాణం చేస్తున్న ప్రయాణికు స్నేహితురాలు.","వీధి వీధిపక్కన, ఒంటరిగా ప్రయాణం చేస్తున్న ప్రయాణికు స్నేహితురాలు.",सड़क - उजियाला एक अकेला प्रवासी का मित्र है ।,گلی‌کوچوں میں مسافروں کا ایک دوست ہے ۔,"వీధి వీధిపక్కన, ఒంటరిగా ప్రయాణం చేస్తున్న ప్రయాణికు స్నేహితురాలు.",सड़क - उजियाला एक अकेला प्रवासी का मित्र है ।,തെരുവ് ലൈറ്റ് ഏകാന്ത യാത്രക്കാരന്റെ സുഹൃത്താണ്.
The streetlight is a play that we have to be the first quest of.,streetlight,The streetlight is a play that we have to be the first quest of.,सड़क की रोशनी एक खेल है कि हम पहली तलाशी होना है.,सड़कलाइट एक नाटक है जो हमें सबसे पहली खोज होनी चाहिए.,आमच्या गाडीला आग लागली आहे.,స్ట్రీట్‌ లైట్‌ మనం మొదటి అన్వేషణగా ఉండాలి.,స్ట్రీట్‌ లైట్‌ మనం మొదటి అన్వేషణగా ఉండాలి.,सड़कलाइट एक नाटक है जो हमें सबसे पहली खोज होनी चाहिए.,سڑک ایک ایسا کھیل ہے جسے ہمیں پہلے تلاش کرنے کی ضرورت ہے۔,స్ట్రీట్‌ లైట్‌ మనం మొదటి అన్వేషణగా ఉండాలి.,सड़कलाइट एक नाटक है जो हमें सबसे पहली खोज होनी चाहिए.,തെരുവ് ലൈറ്റ് ഒരു നാടകമാണ്. നമ്മൾ ആദ്യമായി ഒരു യാത്രാപ്രവർത്തകനാവണം.
The garbage is a testament to our apathy.,garbage,The garbage is a testament to our apathy.,कचरा हमारी उदासीनता के लिए एक वाचा है ।,कचरा අපගේ उदासीनता के लिए एक करार है.,आम्ही समुद्रात पोहलो आहोत.,చెత్త మన ఉదాసీనతకు ఒక నిబంధన.,చెత్త మన ఉదాసీనతకు ఒక నిబంధన.,कचरा අපගේ उदासीनता के लिए एक करार है.,اذیت ہماری بےحسی کا ذمہ‌دار ہے ۔,చెత్త మన ఉదాసీనతకు ఒక నిబంధన.,कचरा අපගේ उदासीनता के लिए एक करार है.,ചപ്പുചവറുകൾ നമ്മുടെ നിരർഥകമാണ്.
Sarak par khali gitti failal ba.,others,Sarak par khali gitti failal ba.,साराकण्डे स्तोली मिलल .,Sarak Parkhli gitti असफलता बा.,Culver Pictures,സാర్క్ parar chali gitty Fill baa.,സാర్క్ parar chali gitty Fill baa.,Sarak Parkhli gitti असफलता बा.,اِس کی کیا وجہ ہے ؟,സാర్క్ parar chali gitty Fill baa.,Sarak Parkhli gitti असफलता बा.,"സാരാക്ക് പാർലർ കിലിറ്റീ, തോൽവി."
Kachra aake uthwa lijiye,garbage,Kachra aake uthwa lijiye,काचरा एक गाकुस लीजी हाँ,Kachra ake uthwa লিजी,From the book The Silddddden,ഖಾಖಾakazaziaziaziiziia.,ഖಾಖಾakazaziaziaziiziia.,Kachra ake uthwa লিजी,کوکو کیلے کا رنگ,ഖಾಖಾakazaziaziaziiziia.,Kachra ake uthwa লিजी,കച്ചറ ഒരു ഉറുപ്പിക live light hair.
The garbage is a problem that requires a collective effort.,garbage,The garbage is a problem that requires a collective effort.,कचरा एक समस्या है जो एक सामूहिक प्रयास की माँग करती है ।,कूच - कूच करना एक समस्या है जिसे सामूहिक प्रयास की आवश्‍यकता आहे.,पण हा धोका कमी होत चालला आहे का?,చెత్తವು ಸಾಮಗ್ರಿ ಪ್ರಯತ್ನವನ್ನು ಅಗತ್ಯಪಡಿಸುವ ಒಂದು ಸಮಸ್ಯೆಯಾಗಿದೆ.,చెత్తವು ಸಾಮಗ್ರಿ ಪ್ರಯತ್ನವನ್ನು ಅಗತ್ಯಪಡಿಸುವ ಒಂದು ಸಮಸ್ಯೆಯಾಗಿದೆ.,कूच - कूच करना एक समस्या है जिसे सामूहिक प्रयास की आवश्‍यकता आहे.,یہ ایک ایسا مسئلہ ہے جو ایک اجتماعی کوشش کا تقاضا کرتا ہے۔,చెత్తವು ಸಾಮಗ್ರಿ ಪ್ರಯತ್ನವನ್ನು ಅಗತ್ಯಪಡಿಸುವ ಒಂದು ಸಮಸ್ಯೆಯಾಗಿದೆ.,कूच - कूच करना एक समस्या है जिसे सामूहिक प्रयास की आवश्‍यकता आहे.,ചപ്പുചവറുകൾ ഒരു കൂട്ടക്കൊലയാണ് .
Kachra ab hamare darwaze tak aa gaya hai.,garbage,Kachra ab hamare darwaze tak aa gaya hai.,कांचा डार्वा डार्वा एक समलैंगिक भाई है।,Kachra Ab hhamb Hamare Dorwaze taka haiy.,सा. यु. पू.,ഖാರಾ ಅbahar tharvaaka thakaa ahahahahahahai.,ഖാರಾ ಅbahar tharvaaka thakaa ahahahahahahai.,Kachra Ab hhamb Hamare Dorwaze taka haiy.,کوکوکو کوکوکو ایک کانے سے بنا دیا جاتا ہے.,ഖാರಾ ಅbahar tharvaaka thakaa ahahahahahahai.,Kachra Ab hhamb Hamare Dorwaze taka haiy.,"കാച്ച്രാ Akrabha Hambar Derview, ഒരു ഗായികയാണ്."
Laptop nhi chal rha hai .,others,Laptop nhi chal rha hai .,लैपटॉप Nyplagaaga.,लैपटॉप nhi चुंबन rahay.,P.S.P.B.B.A.A.P.B.A.A.P.B.A.A.A.P.P.P.A.P.P.P.P.P.B.W.W.B.W.W.W.W. P.P.P.P.P.P.P.W.W.W.W.W.W.W.W.W.W.W. P.W.W.W.W.W.W.W.W.W.W.W.,Laptaki chal rhahahahy.,Laptaki chal rhahahahy.,लैपटॉप nhi चुंबन rahay.,ہم سب ایک دوسرے کے ساتھ مل کر کھانا کھاتے ہیں.,Laptaki chal rhahahahy.,लैपटॉप nhi चुंबन rahay.,ലാപ് ടോപ്പ് Yanka Rh.
The road is a novel that we have to be the first invention of.,potholes,The road is a novel that we have to be the first invention of.,मार्ग एक उपन्यास है जिसे हमें पहला आविष्कार करना है ।,सड़क एक उपनगर है जो हमें पहिला उद्योग बनवावे लागेल.,आम्हाला जपानीमध्ये एक मुलगी आहे.,"ರಸ್ತೆಯು, ನಾವು ಕಂಡುಹಿಡಿಯಬೇಕಾದ ആദ്യത്തെ ನವನವೀನವಾಗಿದೆ.","ರಸ್ತೆಯು, ನಾವು ಕಂಡುಹಿಡಿಯಬೇಕಾದ ആദ്യത്തെ ನವನವೀನವಾಗಿದೆ.",सड़क एक उपनगर है जो हमें पहिला उद्योग बनवावे लागेल.,یہ سڑک ایک کہانی ہے جسے ہمیں پہلی ایجاد ہونا ہے۔,"ರಸ್ತೆಯು, ನಾವು ಕಂಡುಹಿಡಿಯಬೇಕಾದ ആദ്യത്തെ ನವನವೀನವಾಗಿದೆ.",सड़क एक उपनगर है जो हमें पहिला उद्योग बनवावे लागेल.,റോഡ് ഒരു നോവൽ ആണ്. നമ്മൾ ആദ്യം കണ്ടെത്തിയത് ഒരു നോവൽ ആണ്.
The garbage disposal needs a complete overhaul.,garbage,The garbage disposal needs a complete overhaul.,कचरा को पूरी तरह से हिलने की ज़रूरत है ।,कचरा कचरे को नीच करने के लिए एक पूर्ण ओवरहालची आवश्‍यकता आहे.,टायरचा वापर करणे सोपे आहे.,చెత్త ತೆಗೆಯുന്നതിന്‌ ಸಂಪೂರ್ಣವಾಗಿ ಮಾಮೂಲ്‌ ആവശ്യമാണ്‌.,చెత్త ತೆಗೆಯുന്നതിന്‌ ಸಂಪೂರ್ಣವಾಗಿ ಮಾಮೂಲ്‌ ആവശ്യമാണ്‌.,कचरा कचरे को नीच करने के लिए एक पूर्ण ओवरहालची आवश्‍यकता आहे.,"ہْμéہج3⁄4îμéہج3⁄4ْہ"" °إ3⁄4ك",చెత్త ತೆಗೆಯുന്നതിന്‌ ಸಂಪೂರ್ಣವಾಗಿ ಮಾಮೂಲ്‌ ആവശ്യമാണ്‌.,कचरा कचरे को नीच करने के लिए एक पूर्ण ओवरहालची आवश्‍यकता आहे.,ചപ്പുചവറുകൾക്ക് ഒരു സമ്പൂർണ്ണാധിപത്യം ആവശ്യമാണ് .
The garbage is a reflection of our society.,garbage,The garbage is a reflection of our society.,कचरा हमारे समाज का एक प्रतिबिंब है.,कचरा समाजाचा प्रतिबिंब आहे.,आपल्या भोवतालच्या परिसराची तुलना आगीशी करण्यात आली आहे.,ಕಸ ನಮ್ಮ ಸಮಾಜத்தின் ಪ್ರತಿಬಿಂಬയാണ്.,ಕಸ ನಮ್ಮ ಸಮಾಜத்தின் ಪ್ರತಿಬಿಂಬയാണ്.,कचरा समाजाचा प्रतिबिंब आहे.,کوڑے ہمارے معاشرے کا ایک منظر ہے.,ಕಸ ನಮ್ಮ ಸಮಾಜத்தின் ಪ್ರತಿಬಿಂಬയാണ്.,कचरा समाजाचा प्रतिबिंब आहे.,ചപ്പുചവറുകൾ നമ്മുടെ സമൂഹത്തിന്റെ ഒരു പ്രതിബിംബമാണ്.
The road is a movie that we have to be the first blockbuster of.,potholes,The road is a movie that we have to be the first blockbuster of.,सड़क एक ऐसी फिल्म है जिसे हमें सबसे पहले विडबस्टर होना है ।,सड़क হল एक फिल्म जिसे हमें सबसे पहली ब्लॉकබ්स्टर (Blockbututer) जानना होगा.,चित्रपट बघायला कठीण आहे.,రహదారి మనం మొదటి బ్లాక్‌బుబుస్టర్‌గా ఉండాలి రహదారి అనేది ఒక సినిమా.,రహదారి మనం మొదటి బ్లాక్‌బుబుస్టర్‌గా ఉండాలి రహదారి అనేది ఒక సినిమా.,सड़क হল एक फिल्म जिसे हमें सबसे पहली ब्लॉकබ්स्टर (Blockbututer) जानना होगा.,سڑک ایک فلم ہے جس میں ہمیں سب سے پہلے لی گئی ہے.,రహదారి మనం మొదటి బ్లాక్‌బుబుస్టర్‌గా ఉండాలి రహదారి అనేది ఒక సినిమా.,सड़क হল एक फिल्म जिसे हमें सबसे पहली ब्लॉकබ්स्टर (Blockbututer) जानना होगा.,റോഡ് ഒരു സിനിമയാണ്... ...നമുക്ക് ആദ്യ ബ്ലോക്ക്ബസ്റ്റർ ആവണം.
The streetlight is a ray of light in the darkness.,streetlight,The streetlight is a ray of light in the darkness.,सड़क की रोशनी अंधेरे में प्रकाश की किरण है ।,प्रकाश अंधकार में प्रकाश का रेष है ।,रस्त्यात अंधार आहे.,ಸ್ಟ್ರೀಟ್‌ಲೈಟ್‌ ಕತ್ತಲೆಯಲ್ಲಿ ಬೆಳಕಿನ రేఖ.,ಸ್ಟ್ರೀಟ್‌ಲೈಟ್‌ ಕತ್ತಲೆಯಲ್ಲಿ ಬೆಳಕಿನ రేఖ.,प्रकाश अंधकार में प्रकाश का रेष है ।,روشنی تاریکی میں روشنی کی چمک ہوتی ہے ۔,ಸ್ಟ್ರೀಟ್‌ಲೈಟ್‌ ಕತ್ತಲೆಯಲ್ಲಿ ಬೆಳಕಿನ రేఖ.,प्रकाश अंधकार में प्रकाश का रेष है ।,തെരുവുവെളിച്ചം–വെളിച്ചംവെളിച്ചം–വെളിച്ചം
The garbage is a painting that we have to be the first creation of.,garbage,The garbage is a painting that we have to be the first creation of.,कचरा एक पेंटिंग है कि हमें सबसे पहले सृष्टि करनी है.,"කුණු - गळना एक ایسی रंगीन ਚੀਜ਼ है, जिसे ہمیں पहिली تخلیق වෙන්න ہی પડશે.",आपण एका जिवंत निर्माणकर्त्याच्या अस्तित्वाचा विचार करू या.,"ಕಸವು, ನಾವು ಪ್ರಥಮ ಸೃಷ್ಟಿಯಾಗಿರಲೇಬೇಕಾದ ಒಂದು ವರ್ಣಚಿತ್ರವಾಗಿದೆ.","ಕಸವು, ನಾವು ಪ್ರಥಮ ಸೃಷ್ಟಿಯಾಗಿರಲೇಬೇಕಾದ ಒಂದು ವರ್ಣಚಿತ್ರವಾಗಿದೆ.","කුණු - गळना एक ایسی रंगीन ਚੀਜ਼ है, जिसे ہمیں पहिली تخلیق වෙන්න ہی પડશે.",کوڑے ایک ایسی تصویر ہے جسے ہمیں پہلی تخلیق ہونا ہے۔,"ಕಸವು, ನಾವು ಪ್ರಥಮ ಸೃಷ್ಟಿಯಾಗಿರಲೇಬೇಕಾದ ಒಂದು ವರ್ಣಚಿತ್ರವಾಗಿದೆ.","කුණු - गळना एक ایسی रंगीन ਚੀਜ਼ है, जिसे ہمیں पहिली تخلیق වෙන්න ہی પડશે.",ചപ്പുചവറുകൾ നമ്മുടെ ആദ്യ സൃഷ്ടിയാണ്.
Kachra gaadi subah subah aati hai aur horn bhi nahi bajati.,garbage,Kachra gaadi subah subah aati hai aur horn bhi nahi bajati.,कांद्रा उपांग उपह उपांग तृद सींग thynyi.,Kachra gadia उपाका अटादी हाय ची शिंगे बाही बाजाती.,यु. पू.,ഖಾറാ ഖാഡി ಉಪಪತ್ರಾ ಅಹೈ ಅಓರ್‌ ಬೊನ್‌ ಬೈ ಹಿಪ್ಪಿ.,ഖಾറാ ഖാഡി ಉಪಪತ್ರಾ ಅಹೈ ಅಓರ್‌ ಬೊನ್‌ ಬೈ ಹಿಪ್ಪಿ.,Kachra gadia उपाका अटादी हाय ची शिंगे बाही बाजाती.,کوہِ‌سیمُردار کے ایک سرے سے بنی ہوئی سُرخ بُرجوں کو پار کرا دیا جاتا ہے ۔,ഖಾറാ ഖാഡി ಉಪಪತ್ರಾ ಅಹೈ ಅಓರ್‌ ಬೊನ್‌ ಬೈ ಹಿಪ್ಪಿ.,Kachra gadia उपाका अटादी हाय ची शिंगे बाही बाजाती.,കക്രാഗാദി സബ്താഹ്യ ഹൌർ അയൂർ ബഹായ് ബഹായ് .
